Approval Number,Trading Name,Address1,Address2,Address3,Town,Postcode,"Part A, Section III: Meat of farmed game","Part A, Section IV: Wild game meat","Part A, Section V: Minced meat, meat preparations and mechanically separated meat","Part A, Section VI: Meat products","Part A, Section VII: Live bivalve molluscs","Part A, Section VIII: Fishery products","Part A, Section IX: Raw milk and dairy products","Part A, Section X: Eggs and egg products","Part A, Section XI: Frog's legs and snails","Part A, Section XII: Rendered animal fats and greaves","Part A, Section XIII: Treated stomachs, bladders and intestines","Part A, Section XIV: Gelatine","Part A, Section XV: Collagen",Part A (All sections),Species,Remarks,CompetentAuthority,Country
AE 101,First Milk Cheese Company,Station Road,,Aspatria,Carlisle,CA5 2AR,,,,,,,"CC (Collection Centre), PP (Processing Plant)",,,,,,,"Section: IX (CC), Section: IX (PP)",,,Allerdale Borough ,England
AE 102,Thornby Moor Dairy,Crofton Hall,,Thursby,Carlisle,CA5 6QB,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Allerdale Borough ,England
AE 112,Classic Desserts Limited,19 – 21 Blencathra Business Centre,,Threlkeld,Keswick,CA12 4TR ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Allerdale Borough ,England
AE 114,Wardhall Dairy,,,,Wigton,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Allerdale Borough ,England
AE 203,Caterite Food Services,Embleton,,,Cockermouth,CA13 9XP,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: VI (PP)",,,Allerdale Borough ,England
AE 204,Haighs (Workington) Ltd,15 – 17 Pow Street,,,Workington,CA14 3AG,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Allerdale Borough ,England
AE 206,The Pie Mill,Unit 16 Blencathra Business Centre,,Threlkeld,Keswick,CA12 4PR,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Allerdale Borough ,England
AE 214,Shaw Meats Limited,Aspatria Business Park,Park Road,Aspatria,Carlisle,CA7 3DP,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Allerdale Borough ,England
AV 002,Loscoe Chilled Foods Ltd,Grange Farm Factory,,,Loscoe,DE75 7JT,,,"MP (Meat Preparation Establishment), MM (Mince Meat Establishment)",PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MP), Section: 0 (RW), Section: 0 (CS), Section: V (MM)",,,Amber Valley Borough,England
AV 014,The Cow House Dairy,Ashbourne Road,Cowers Lane,,Belper,DE56 2LD,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Amber Valley Borough,England
AV 017,The Duffield Dairy,Burley Meadows Farm,,Duffield,Belper,DE56 4FQ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Amber Valley Borough,England
AV 018,Hunt's Quality Meats,Amber Business Centre,"Unit 8, Block 17",Charity Road,Riddings,DE55 4BR,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Amber Valley Borough,England
AV 019,JT & VM Burton,,,,Ashbourne,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Amber Valley Borough,England
AV 020,Oak Apple Farm,Highfield Lane,Muggington,, Ashbourne,DE6 4PQ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Amber Valley Borough,England
AV 021,Castle Farm Eggs,Hands Road,99 Hands Road,,Heanor,DE75 7HB,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Amber Valley Borough,England
AV 022,Featherfield Poultry Farm,Plaistow Green,,,Crich,DE4 5GX,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Amber Valley Borough,England
AV 024,Bidvest Foodservice Nottingham Depot,Access 26 Business Park,Enterprise Way,,Langle Mill,NG16 4HY,,,,,,,,,,,,,,Section: 0 (CS),,,Amber Valley Borough,England
AV 025,J C Coombes & Son,Croft House Farm,40 Slack Lane,,Nether Heage,DE56 2JU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Amber Valley Borough,England
AV 026,Southcliffe Foods Limited,Unit 1,Lydford Road,,Alfreton,DE55 7RQ,,,,,,,,,,,,,,Section: 0 (RW),,,Amber Valley Borough,England
AN 002,Turner's Dairies LLP,Mytlegrove Farm,,Patching,Worthing,BN13 3XL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Arun District,England
AN 007,The Fab Food Company Ltd,Enterprise Units,Durban Road,,Bognor Regis,PO22 9RU,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Arun District,England
AN 008,Rookery Farm (Langmeads),"Hoe Lane, ",Flansham,,Bognor Regis,PO22 8NT,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Arun District,England
AN 009,JJ Seller & Partners,Park Farm,Chichester Road,,Arundel,BN18 0AG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Arun District,England
AN 011,G D Poston,Lintels,Bilsham Road,Yapton,Arundel,BN18 0JB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Arun District,England
AN 012,Browns Seafoods,Riverside Industrial Estate,Bridge Road,Wick,Littlehampton,BN17 5DF,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Arun District,England
AN 013,Devilish Desserts,Dominion Way,Rustington,,Littlehampton,BN16 3HQ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Arun District,England
AN 015,Nanny Sue's Best Eggs,South Lodge Cottage,Rogers Lane,Findon,Worthing,BN14 0RE,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Arun District,England
AN 016,Turners Pies Ltd,Unit D1,Riverside Industrial Estate,Bridge Road,Littlehampton,BN17 5DF,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Arun District,England
AN 017,KC Holden Ltd,3 Lineside Way,,,Littlehampton,BN17 7EH,,,MM (Mince Meat Establishment),PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: V (MM), Section: VI (PP), Section: VIII (PP)",,,Arun District,England
AN 018,Regis Foods,5 Regis Business Park,Durban Road,,Bognor Regis,PO22 9QT,,,,,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW)",,,Arun District,England
AN 019,Express Foodservice,Unit E,Dominion Way,,Rustington,BN16 3HQ,,,,,,,,,,,,,,Section: 0 (CS),,,Arun District,England
AN 020,License to Chill Ltd,Sussex & Surrey Dairies ,Unit 28 Eldon Way,Lineside Industrial Estate  ,Littlehampton,BN177HE,,,,,,,,,,,,,,Section: 0 (CS),,,Arun District,England
AI 001,D & S Storage,Monarch House,Coxmoor Road,,Sutton in Ashfield,NG17 5LA,,,,,,,,,,,,,,Section: 0 (CS),,,Ashfield District,England
AI 002,Eddie Stobart Ltd,Little Oak Drive,Annesley,,Nottingham,NG15 0DR,,,,,,,,,,,,,,Section: 0 (CS),,,Ashfield District,England
AS 100,Street Farm Dairy,Moat Farm,High Halden,,Ashford,TN26 3BZ,,,,,,,"CC (Collection Centre), PP (Processing Plant)",,,,,,,"Section: IX (CC), Section: IX (PP)",,,Ashford District,England
AS 101,Grace Limited Honour Farm,Grange Road,St Michaels,,Tenterden,TN30 6TJ,,,,,,,"CC (Collection Centre), PP (Processing Plant)",,,,,,,"Section: IX (CC), Section: IX (PP)",,,Ashford District,England
AS 103,Korker Sausages Ltd,Branns Drive,High Street,Rolvenden,Cranbrook,TN17 4LN,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Ashford District,England
AS 104,Ardo UK Ltd,Ashford Road,Charing,,Ashford,TN27 0DF,,,,,,,,,,,,,,Section: 0 (CS),,,Ashford District,England
AS 105,Cheesemakers of Canterbury,South Hill Farm,Tamley Lane,Hastingleigh,Ashford,TN25 5HL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Ashford District,England
AS 108,Catering Naturally Ltd (T/A Healthy Roots),85 - 85 Ellingham Industrial Centre,Ellingham Way,,Ashford,TN23 6JZ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Ashford District,England
AS 109,T and L Coopers Ltd,Unit 3,Henwood Business Centre,Henwood,Ashford,TN24 8DH,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,Ashford District,England
AS 110,Moons Green Charcuterie Ltd,Owley Green Farm,Acton Lane,,Wittersham,TN307HL,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Ashford District,England
AS 111,Village Green Foods Limited,Unit 2 Wissenden Corner,Wissenden Lane,,Bethersden,TN26 3EL,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,Ashford District,England
AY 001,M&J Seafords,33 Faraday Road,,,Aylesbury,HP19 3RY,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Aylesbury Vale District,England
AY 017,Oxford Cheese Company Ltd,Unit 15 Wornal Park,Menmarsh Road,Worminghall,Aylesbury,HP18 9PH,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Aylesbury Vale District,England
AY 019,Jak's Fishcakes,Greenacres Farm,Mursley Road,Little Horwood,Milton Keynes,MK17 0PG,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Aylesbury Vale District,England
AY 021,Natco Foods Limited,"Unit 2, Swan Business Park",Choithram House,Osier Way,Buckingham,MK18 1TB,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Aylesbury Vale District,England
AY 023,Arla Foods Limited,Samian Way ,,Aston Clinton,Aylesbury,HP22 5WJ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Aylesbury Vale District,England
AY 024,Deli Sante Limited,Station Road Industrial Estate,,Winslow,Buckingham,MK18 3DZ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Aylesbury Vale District,England
AY 027,Kinsale Agriculture,Kinsale Farm,New Road,Dinton,Aylesbury,HP17 8UT,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Aylesbury Vale District,England
AY 028,JC Meats Ltd.,Unit 9,Hill Cottage ,Claydon Road,Hogshaw,MK18 3LA,,,,,,,,,,,,,,"Section: 0 (CS), Section: 0 (RW)",,,Aylesbury Vale District,England
AY 029,Mursley Free-Range Egg Supplies Ltd,WITAN COURT,305 UPPER FOURTH STREET,,Milton Keynes,MK9 1EH,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Aylesbury Vale District,England
AY 030,Bradmoor Hatcheries Ltd,Stanbridge Road,,,Haddenham,HP17 8JX,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Aylesbury Vale District,England
AY 031,Jennifer Callow,Copper House Farm,Bushy Road,,Preston Bissett,MK18 4ND,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Aylesbury Vale District,England
AY 033,Chiltern Foods Ltd,23 Faraday Road ,,,Aylesbury,HP19 8RY,,,,,,,,PP (Processing Plant),,,,,,Section: X (PP),,,Aylesbury Vale District,England
AY 034,Swanbourne Dairy,Church Farm,4 Winslow Road,Swanbourne,Milton Keynes,MK17 0SW,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Aylesbury Vale District,England
IH 003 ,Country Pies,Coach House,Churchford Farm,,Ipswich,IP9 2LA,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Babergh District,England
IH 009,Essex Pig Company,Pannington Hall Lane,Wherstead,,Ipswich,IP9 2AR,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Babergh District,England
IH 016, Sage and Onion Catering,Old Post Office,The Street,,Preston St. Mary,CO10 9NG,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Babergh District,England
IH 018,Smally’s Biltong,"The Cookhouse, Suffolk Food Hall",Peppers Lane,Wherstead,IPSWICH,IP9 2AB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Babergh District,England
IH 019,Fulibroch Dairy,Sudbury Road,,,Bures St Mary,CO8 5JT,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Babergh District,England
UK 5 1044,Elmsett Eggs,Little Greys,Gt Cornard,,Sudbury,CO10 0QG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Babergh District,England
UK 5 1090,James George,,,,East Bergholt,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Babergh District,England
UK 5 999,Stocks Farm,Campion Lane,,,Nayland with Wissington,CO6 4NJ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Babergh District,England
DG 001,Muller Milk and Ingredients,Selinas Lane,,Chadwell Heath,Dagenham,RM8 1QH,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Barking and Dagenham  (London Borough),England
DG 002,J W F Services Limited,Trafalgar Business Centre,"River Road,",,Barking,IG11 0JU,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Barking and Dagenham  (London Borough),England
DG 007,Stockwin of London,,,,Barking,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,Barking and Dagenham  (London Borough),England
DG 011,Bonians,Unit 1 Sterling Works,Rainham Rd South,,Dagenham,RM10 8TX,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barking and Dagenham  (London Borough),England
DG 015,Hunters Biltong,Unit 2&3 Lyon Business Park,River Road,,Barking,IG11 0JS,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barking and Dagenham  (London Borough),England
DG 017,Silas,Porters Avenue,,,Dagenham,RM9 4ND,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Barking and Dagenham  (London Borough),England
DG 018,Anne-Mary Bakehut Limited,Unit 12A Midas Business Centre,Wantz Road,,Dagenham,RM10 8PS,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barking and Dagenham  (London Borough),England
DG 019,Medina Dairy Ltd,Gallions Close,Creek Mouth,,Barking,IG11 0JD,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barking and Dagenham  (London Borough),England
DG 020,KC Eggs Ltd t/a Euro Eggs UK,Unit 4b ,Barking Business Centre,25 Thames Road,Barking,IG11 0JP,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barking and Dagenham  (London Borough),England
DG 021,Baboo (Wholesale Meats) Ltd,Unit 1 Rima House,A13 Approach,Ripple Road,Barking,IG11 0RH,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barking and Dagenham  (London Borough),England
DG 024,AAFIO Kitchens ,Unit 10,Dagenham Business Centre,123 Rainham Road North,Dagenham,RM10 7FD,,,,,,FFPP (Fresh Fishery Products Plant),,,,,,,,Section: VIII (FFPP),,,Barking and Dagenham  (London Borough),England
BT 012,Gail's Ltd,Unit 24,Garrick Road Industrial Estate,Irving Way,London,NW9 6AQ,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,PP (Processing Plant),PP (Processing Plant),,,,,,"Section: IX (PP), Section: V (MP), Section: VI (PP), Section: X (PP)",,Meat Products,Barnet (London Borough) ,England
BT 014,Kun Mor and George Kiss Home,Asher Loftus Way,Colney Hatch Lane,,London,N11 3ND,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Barnet (London Borough) ,England
BT 016,The Biltong Factory,1 Bute Mews,,,London,NW11 6EQ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barnet (London Borough) ,England
YB 004,K Stuart & Sons,Dyson Cote Farm,Dyson Cote Lane,Snowden Hill,Sheffield,S36 8YR,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Barnsley Metropolitan Borough,England
YB 006,NP & DJ Darwin Ltd,Whitefield Farm,Halifax Road,Oxspring,Sheffield,S36 8YL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Barnsley Metropolitan Borough,England
YB 009,RA & CA Cowgill,Lower Sycamore Farm,Upper Hoyland Road,Hoyland,Barnsley,S74 9NL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Barnsley Metropolitan Borough,England
YB 015 ,Cranswick Convenience Foods Limited,Valley Park Industrial Estate,,Meadow Gate,Wombwell,S73 0UN,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barnsley Metropolitan Borough,England
YB 017,Potters of Barnsley Ltd,Barnsley Road,,,Wombwell,S73 8DJ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barnsley Metropolitan Borough,England
YB 019,MRH Meats Ltd,Carlton Industrial Estate,Albion Road,,Barnsley,S71 3HW,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barnsley Metropolitan Borough,England
YB 020,GIST Ltd.,Industry Road,Carlton Industrial Estate,,Barnsley,S71 3LJ,,,,,,,,,,,,,,Section: 0 (CS),,,Barnsley Metropolitan Borough,England
YB 023,Company Shop Ltd,Wentworth Way Industrial Estate,Wentworth Way,Tankersley,Barnsley,S75 3DH,,,,,,,,,,,,,,Section: 0 (RW),,,Barnsley Metropolitan Borough,England
YB 036,Potts (Bakers) Ltd,Stanley Road,Stairfoot,,Barnsley,S70 3PG,,,,PP (Processing Plant),,,,PP (Processing Plant),,,,,,"Section: VI (PP), Section: X (PP)",,,Barnsley Metropolitan Borough,England
YB 044,Fresh Pak Chilled Foods Ltd,1 Waterside Park,Valley Way,Wombwell,Barnsley,S73 0BB,,,,,,,,PP (Processing Plant),,,,,,Section: X (PP),,,Barnsley Metropolitan Borough,England
YB 046,Cottage Bakeries Ltd,34 Benbank Rd,Silkstone Common,,Barnsley,S75 4PB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barnsley Metropolitan Borough,England
YB 049,Maizie Moo Ice Cream,Jowett House Farm,Bark House Lane,Cawthorne,Barnsley,S75 4AS,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Barnsley Metropolitan Borough,England
YB 053,H White and Son,Rob Royd Farm,Hound Hill Lane,,Barnsley,S70 6TY,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barnsley Metropolitan Borough,England
YB 054,Amos Kaye and Son,Town Head Farm,Brook Hill Road,Dunford Bridge,Sheffield,S36 4TG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barnsley Metropolitan Borough,England
YB 055,J H Robinson,Bents Farm ,Bents Roa,Hazlehead,Sheffield,S36 4HF,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barnsley Metropolitan Borough,England
YB 056,D and M Smith,Smithfield Farm,Smithley Lane,Wombwell,Barnsley,S73 8UG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barnsley Metropolitan Borough,England
YB 057,P M and A Turner,Martins Nest Farm,Birds Nest Farm,,Holmfirth,HD9 7TG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barnsley Metropolitan Borough,England
YB 058,Ranah Stones,Ranah Stones Farm,Hazlehead,Huddersfield Road,Sheffield,S36 4HJ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barnsley Metropolitan Borough,England
YB 059,Frozen Value Ltd,Bretton Pint ,Dearne Mills,,Barnsley,S75 5NH,,,,,,,,,,,,,,Section: 0 (RW),,,Barnsley Metropolitan Borough,England
YB 060,Nagel Langdons Ltd,Great Cliffe Road,Dodworth,,Barnsley,S75 3SP,,,,,,,,,,,,,,Section: 0 (CS),,,Barnsley Metropolitan Borough,England
YB 061,Flavours Foods Ltd,Unit C Bromcliffe Park,Burton Road,,Monk Bretton,S71 5RN,,,,PP (Processing Plant),,,,,,,,,,"Section: 0 (RW), Section: VI (PP)",,,Barnsley Metropolitan Borough,England
YB 062,The Company Shop Ltd,Wentworth Way Industrial Estate,Wentworth Way,Tankersley,Barnsley,S75 3DH,,,,,,,,,,,,,,Section: 0 (RW),,,Barnsley Metropolitan Borough,England
YB 063,Enjoy the Feast Ltd t/a Chill At Home,66-68 Market Street,,,Barnsley,S70 1SN,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barnsley Metropolitan Borough,England
YB 064,Hill Top Farm,Greenmoor,,,Sheffield,S35 7DX,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Barnsley Metropolitan Borough,England
YB 065,Pennine Country Foods Ltd,Unit 17,Metro Trading Centre,Barugh Green Road,Barnsley,S75 1JX,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Barnsley Metropolitan Borough,England
BF 001,Booker Cash & Carry,Bouthwood Road,,,Barrow-in-Furness,LA14 4RB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Barrow-in-Furness District,England
BF 003,Parkhouse Dairies,Parkhouse Farm,Parkhouse Road,,Barrow-In-Furness,LA13 0PL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Barrow-in-Furness District,England
BF 004,Diggles Ltd,58-64 Dalton Road,,,Barrow-In-Furness,LA14 1JB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barrow-in-Furness District,England
BF 010,Sillfield Farm Products Limited,Gatebeck,,,Kendall,LA8 0HZ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Barrow-in-Furness District,England
BF 011,Kingfisher Seafoods,Unit 14,Forge Close,,Barrow In Furness,LA14 2UF,,,,,PC (Purification Centre),,,,,,,,,Section: VII (PC),,,Barrow-in-Furness District,England
PM 008,Ambassador Cooked Meats Ltd,12-13 Nobel Square,,,Basildon,SS13 1LS,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Basildon ,England
PM 014,J Buckland,"Unit 1, Orion Court",Cranes Farm Road,,Basildon,SS14 3DB,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: VI (PP), Section: 0 (RW), Section: V (MP)",,,Basildon ,England
PM 018,Abi's Catering Supplies Ltd,Adams Business Centre,Cranes Farm Road,,Basildon,SS14 3JF,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Basildon ,England
PM 019,Tudor Cooked Meats,26 Orion Court,Cranes Farm Road,,Basildon,SS14 3DB,,,,,,,,,,,,,,Section: 0 (CS),,,Basildon ,England
PM 024,Beez Neez,Orion Court,Cranes Farm Road,,Basildon,SS14 3DB,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Basildon ,England
PM 025,Essex Farm Foods,Unit 2 Swinborne Court,Swinborne Road,,Basildon,SS13 1QA,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,Basildon ,England
PM 028,Osem UK Ltd,Hemmells Industrial Park,,,Basildon,SS15 6ED,,,,,,,,,,,,,,Section: 0 (CS),,,Basildon ,England
PM 030,Cosmos Takeway Ltd,Basildon Business Centre,Bentalls,,Basildon,SS14 3FT,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Basildon ,England
PM 032,Bradfields Farm Dairy,Burnt Mills Road,North Benfleet,,Wickford,SS129JX,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Basildon ,England
PM 033,Yeoman Foods Ltd,3-4 Ilford Trading Estate,Paycocke Road,,Basildon,SS143DR,,,,,,,,,,,,,,Section: 0 (RW),,,Basildon ,England
PM 034,Biltong Direct,Unit 5 ,Wollaston Crescent,,Basildon,SS13 1QD,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MP)",,,Basildon ,England
PM 035,The Professional Nursery Kitchen Ltd,76 Wollaston Way,,,Basildon,SS13 1DJ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Basildon ,England
